Summary of the training: 
(' ave_R ', 3.32, ' std_R ', 6.57, ' min_R ', -0.46, ' max_R ', 19.25, ' times ', 29609, ' epi', 100, ' clock ', 0.02, ' min')
(' ave_R ', 9.23, ' std_R ', 9.1, ' min_R ', -0.47, ' max_R ', 23.44, ' times ', 60020, ' epi', 200, ' clock ', 0.04, ' min')
(' ave_R ', 11.27, ' std_R ', 9.31, ' min_R ', -0.47, ' max_R ', 27.66, ' times ', 88773, ' epi', 300, ' clock ', 0.07, ' min')
(' ave_R ', 13.09, ' std_R ', 9.13, ' min_R ', -0.52, ' max_R ', 27.66, ' times ', 118672, ' epi', 400, ' clock ', 0.09, ' min')
(' ave_R ', 16.22, ' std_R ', 10.96, ' min_R ', -0.52, ' max_R ', 48.18, ' times ', 146866, ' epi', 500, ' clock ', 0.11, ' min')
(' ave_R ', 15.0, ' std_R ', 10.8, ' min_R ', -0.52, ' max_R ', 48.18, ' times ', 176059, ' epi', 600, ' clock ', 0.13, ' min')
(' ave_R ', 16.4, ' std_R ', 10.89, ' min_R ', -0.52, ' max_R ', 48.18, ' times ', 205363, ' epi', 700, ' clock ', 0.15, ' min')
(' ave_R ', 17.16, ' std_R ', 10.83, ' min_R ', -0.52, ' max_R ', 53.97, ' times ', 235988, ' epi', 800, ' clock ', 0.18, ' min')
(' ave_R ', 16.65, ' std_R ', 10.64, ' min_R ', -0.52, ' max_R ', 53.97, ' times ', 267415, ' epi', 900, ' clock ', 0.2, ' min')
(' ave_R ', 16.97, ' std_R ', 10.24, ' min_R ', -0.52, ' max_R ', 53.97, ' times ', 299971, ' epi', 1000, ' clock ', 0.23, ' min')
(' ave_R ', 19.03, ' std_R ', 9.19, ' min_R ', -0.52, ' max_R ', 53.97, ' times ', 331933, ' epi', 1100, ' clock ', 0.25, ' min')
(' ave_R ', 18.9, ' std_R ', 9.24, ' min_R ', -0.53, ' max_R ', 53.97, ' times ', 363963, ' epi', 1200, ' clock ', 0.27, ' min')
(' ave_R ', 20.41, ' std_R ', 9.8, ' min_R ', -0.53, ' max_R ', 53.97, ' times ', 397283, ' epi', 1300, ' clock ', 0.3, ' min')
(' ave_R ', 20.29, ' std_R ', 9.73, ' min_R ', -0.53, ' max_R ', 53.97, ' times ', 432101, ' epi', 1400, ' clock ', 0.32, ' min')
(' ave_R ', 18.85, ' std_R ', 9.37, ' min_R ', -0.55, ' max_R ', 53.97, ' times ', 465595, ' epi', 1500, ' clock ', 0.35, ' min')
(' ave_R ', 19.29, ' std_R ', 8.81, ' min_R ', -0.55, ' max_R ', 53.97, ' times ', 499574, ' epi', 1600, ' clock ', 0.37, ' min')
(' ave_R ', 19.68, ' std_R ', 9.24, ' min_R ', -0.55, ' max_R ', 53.97, ' times ', 533907, ' epi', 1700, ' clock ', 0.4, ' min')
(' ave_R ', 19.45, ' std_R ', 9.15, ' min_R ', -0.69, ' max_R ', 50.36, ' times ', 571620, ' epi', 1800, ' clock ', 0.42, ' min')
(' ave_R ', 20.93, ' std_R ', 9.31, ' min_R ', -0.69, ' max_R ', 54.67, ' times ', 608991, ' epi', 1900, ' clock ', 0.45, ' min')
(' ave_R ', 22.4, ' std_R ', 10.7, ' min_R ', -0.69, ' max_R ', 72.5, ' times ', 647063, ' epi', 2000, ' clock ', 0.47, ' min')
(' ave_R ', 21.54, ' std_R ', 11.2, ' min_R ', -7.99, ' max_R ', 72.5, ' times ', 701471, ' epi', 2100, ' clock ', 0.58, ' min')
(' ave_R ', 22.22, ' std_R ', 10.88, ' min_R ', -7.99, ' max_R ', 72.5, ' times ', 743629, ' epi', 2200, ' clock ', 0.61, ' min')
(' ave_R ', 21.54, ' std_R ', 10.49, ' min_R ', -7.99, ' max_R ', 72.5, ' times ', 783120, ' epi', 2300, ' clock ', 0.65, ' min')
(' ave_R ', 22.91, ' std_R ', 11.19, ' min_R ', -7.99, ' max_R ', 72.5, ' times ', 823089, ' epi', 2400, ' clock ', 0.68, ' min')
