Summary of the training: 
(' ave_R ', 83.41, ' std_R ', 41.25, ' min_R ', 29.32, ' max_R ', 214.96, ' times ', 0)
(' ave_R ', 109.33, ' std_R ', 80.72, ' min_R ', 43.21, ' max_R ', 399.07, ' times ', 0)
(' ave_R ', 115.41, ' std_R ', 80.52, ' min_R ', 38.25, ' max_R ', 328.03, ' times ', 0)
(' ave_R ', 115.73, ' std_R ', 55.82, ' min_R ', 50.44, ' max_R ', 273.0, ' times ', 0)
(' ave_R ', 138.79, ' std_R ', 87.9, ' min_R ', 39.92, ' max_R ', 455.73, ' times ', 0)
(' ave_R ', 98.68, ' std_R ', 52.39, ' min_R ', 37.2, ' max_R ', 206.01, ' times ', 0)
(' ave_R ', 131.39, ' std_R ', 99.68, ' min_R ', 40.61, ' max_R ', 544.79, ' times ', 0)
(' ave_R ', 139.44, ' std_R ', 87.63, ' min_R ', 36.92, ' max_R ', 356.44, ' times ', 0)
(' ave_R ', 94.23, ' std_R ', 47.47, ' min_R ', 24.58, ' max_R ', 205.58, ' times ', 0)
(' ave_R ', 148.15, ' std_R ', 79.42, ' min_R ', 43.6, ' max_R ', 359.73, ' times ', 0)
(' ave_R ', 121.92, ' std_R ', 65.04, ' min_R ', 43.75, ' max_R ', 338.71, ' times ', 0)
(' ave_R ', 134.59, ' std_R ', 76.26, ' min_R ', 33.47, ' max_R ', 344.69, ' times ', 0)
(' ave_R ', 113.54, ' std_R ', 80.03, ' min_R ', 17.53, ' max_R ', 353.96, ' times ', 0)
(' ave_R ', 159.41, ' std_R ', 101.28, ' min_R ', 31.38, ' max_R ', 392.9, ' times ', 0)
(' ave_R ', 146.65, ' std_R ', 94.92, ' min_R ', 22.58, ' max_R ', 372.75, ' times ', 0)
(' ave_R ', 176.09, ' std_R ', 76.72, ' min_R ', 38.76, ' max_R ', 315.93, ' times ', 0)
(' ave_R ', 136.36, ' std_R ', 84.68, ' min_R ', 43.43, ' max_R ', 442.88, ' times ', 0)
(' ave_R ', 144.59, ' std_R ', 93.16, ' min_R ', 35.79, ' max_R ', 392.09, ' times ', 0)
(' ave_R ', 138.07, ' std_R ', 59.8, ' min_R ', 38.61, ' max_R ', 263.58, ' times ', 0)
(' ave_R ', 147.62, ' std_R ', 112.2, ' min_R ', 23.93, ' max_R ', 614.47, ' times ', 0)
(' ave_R ', 139.66, ' std_R ', 85.32, ' min_R ', 34.15, ' max_R ', 478.5, ' times ', 0)
(' ave_R ', 173.11, ' std_R ', 144.55, ' min_R ', 37.39, ' max_R ', 555.43, ' times ', 0)
(' ave_R ', 196.59, ' std_R ', 101.15, ' min_R ', 67.19, ' max_R ', 408.36, ' times ', 0)
(' ave_R ', 197.18, ' std_R ', 109.42, ' min_R ', 31.04, ' max_R ', 496.25, ' times ', 0)
(' ave_R ', 256.24, ' std_R ', 178.55, ' min_R ', 29.32, ' max_R ', 672.31, ' times ', 0)
(' ave_R ', 294.71, ' std_R ', 150.46, ' min_R ', 94.25, ' max_R ', 584.92, ' times ', 0)
(' ave_R ', 338.2, ' std_R ', 170.88, ' min_R ', 62.12, ' max_R ', 620.88, ' times ', 0)
