Summary of the training: 
(' ave_R ', -40.46, ' std_R ', 41.3, ' min_R ', -165.35, ' max_R ', 18.81, ' times ', 34641)
(' ave_R ', -29.99, ' std_R ', 29.8, ' min_R ', -103.33, ' max_R ', 55.29, ' times ', 69379)
(' ave_R ', -18.95, ' std_R ', 26.38, ' min_R ', -78.21, ' max_R ', 49.63, ' times ', 103124)
(' ave_R ', -26.73, ' std_R ', 30.98, ' min_R ', -96.01, ' max_R ', 27.45, ' times ', 136902)
(' ave_R ', -22.6, ' std_R ', 27.92, ' min_R ', -77.8, ' max_R ', 24.21, ' times ', 170669)
(' ave_R ', -3.5, ' std_R ', 18.24, ' min_R ', -55.18, ' max_R ', 22.3, ' times ', 203276)
(' ave_R ', -8.5, ' std_R ', 22.49, ' min_R ', -52.56, ' max_R ', 32.64, ' times ', 235369)
(' ave_R ', -12.12, ' std_R ', 24.69, ' min_R ', -44.53, ' max_R ', 31.92, ' times ', 268172)
(' ave_R ', -5.92, ' std_R ', 26.12, ' min_R ', -61.88, ' max_R ', 38.99, ' times ', 300285)
(' ave_R ', -5.3, ' std_R ', 31.44, ' min_R ', -48.66, ' max_R ', 68.52, ' times ', 331560)
(' ave_R ', 6.37, ' std_R ', 24.56, ' min_R ', -38.01, ' max_R ', 48.7, ' times ', 364250)
(' ave_R ', -3.21, ' std_R ', 25.48, ' min_R ', -44.68, ' max_R ', 59.0, ' times ', 394924)
(' ave_R ', 10.44, ' std_R ', 20.77, ' min_R ', -25.38, ' max_R ', 62.41, ' times ', 425325)
(' ave_R ', 8.28, ' std_R ', 20.34, ' min_R ', -37.74, ' max_R ', 43.33, ' times ', 456370)
(' ave_R ', 4.47, ' std_R ', 27.09, ' min_R ', -28.08, ' max_R ', 73.71, ' times ', 486018)
(' ave_R ', 14.16, ' std_R ', 25.57, ' min_R ', -30.9, ' max_R ', 86.3, ' times ', 516485)
