blahblah
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
(' ave_R ', 1657.47, ' std_R ', 0.0, ' min_R ', 1657.47, ' max_R ', 1657.47, ' times ', 40000)
